GEOID,NAME,year,totpop,white_pct,asian_pct,afam_pct,inc150k_pct,pov_pct,unemp_pct,snap_pct,noveh_pct,state
13047030201,"Census Tract 302.01, Catoosa County, Georgia",Y2016,4858,87.3,0.3,7.2,5.3,16.2,6.7,15.1,2.9,13
13047030202,"Census Tract 302.02, Catoosa County, Georgia",Y2016,6756,88.9,4.9,2.1,11.4,6.3,4.3,5.2,0,13
13047030301,"Census Tract 303.01, Catoosa County, Georgia",Y2016,7560,92.2,0.1,0.9,4.7,7.1,4.9,5.2,3.4,13
13047030303,"Census Tract 303.03, Catoosa County, Georgia",Y2016,3300,98.1,0,0,5.3,7.1,8.9,11,0,13
13047030304,"Census Tract 303.04, Catoosa County, Georgia",Y2016,3609,96.9,0,2.3,9.3,5.2,6.8,8.4,2.2,13
13047030401,"Census Tract 304.01, Catoosa County, Georgia",Y2016,6827,90.4,2,0.7,9.2,6.8,3.5,2.2,0,13
13047030402,"Census Tract 304.02, Catoosa County, Georgia",Y2016,6647,90.6,0,2.1,1.3,14.9,16.8,18.8,2.2,13
13047030500,"Census Tract 305, Catoosa County, Georgia",Y2016,5850,91.7,2.2,2.7,1.3,8.9,6.9,14.2,0.8,13
13047030600,"Census Tract 306, Catoosa County, Georgia",Y2016,5898,90.7,3.3,1.6,2.3,9.9,6.8,19.8,0,13
13047030700,"Census Tract 307, Catoosa County, Georgia",Y2016,8226,91.8,0.9,4.9,3.2,16.2,6,19,3.2,13
13049010100,"Census Tract 101, Charlton County, Georgia",Y2016,9740,51.6,0.5,34.1,3.5,17.2,12.3,18.2,1.6,13
13049010200,"Census Tract 102, Charlton County, Georgia",Y2016,3228,94.5,0,2.6,0.7,19.2,11.4,17.4,0,13
13051000100,"Census Tract 1, Chatham County, Georgia",Y2016,1902,29.5,2.1,57.3,0,89.3,46.2,87.8,57,13
13051000300,"Census Tract 3, Chatham County, Georgia",Y2016,1582,80.3,2.2,8.3,16.3,17.3,5.6,0.9,6.4,13
13051000601,"Census Tract 6.01, Chatham County, Georgia",Y2016,4668,14.3,2.1,77.7,1.9,27.7,19.9,27.5,23.1,13
13051000900,"Census Tract 9, Chatham County, Georgia",Y2016,1128,75,2.7,13.8,15.6,31.1,7.4,11.1,9.3,13
13051001100,"Census Tract 11, Chatham County, Georgia",Y2016,1900,39.5,3.3,53.9,4.5,29.4,13.1,20.4,14.4,13
13051001200,"Census Tract 12, Chatham County, Georgia",Y2016,2137,0.4,0,99,0,53.3,23.6,60.1,31.3,13
13051001500,"Census Tract 15, Chatham County, Georgia",Y2016,1252,65.2,2.2,27.6,2.1,50.9,5.7,19,24.4,13
13051002000,"Census Tract 20, Chatham County, Georgia",Y2016,1403,39.8,1.4,54.5,1.8,36.8,14,27.5,13.7,13
13051002100,"Census Tract 21, Chatham County, Georgia",Y2016,2272,15.7,0.2,83.5,0,22.3,10.2,20,10.2,13
